rule_id,count,message,classification,priority,log_entry
1:2402270901:1,34245,Sectrio-HTTP Unencrypted Traffic,Not Suspicious Traffic,3,05/02/2024-10:44:25.505201  [**] [1:2402270901:1] Sectrio-HTTP Unencrypted Traffic [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 141.255.167.250:59533 -> 121.244.84.46:80
1:2406180301:1,11430,Sectrio - Nmap TCP Scan detected,Attempted Information Leak,2,05/02/2024-10:41:33.033079  [**] [1:2406180301:1] Sectrio - Nmap TCP Scan detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 79.124.56.250:41560 -> 121.244.84.46:42130
1:2206021603:1,513,Sectrio - Possible recon of available services on a network using discovery operation,Attempted Information Leak,2,05/02/2024-10:56:22.283105  [**] [1:2206021603:1] Sectrio - Possible recon of available services on a network using discovery operation [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 146.88.241.140:35487 -> 121.244.84.46:32410
1:2405150204:1,93292,Sectrio - Secure Shell Server Response Established,Detection of a non-standard protocol or event,2,05/02/2024-11:02:52.408360  [**] [1:2405150204:1] Sectrio - Secure Shell Server Response Established [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {TCP} 49.13.76.216:22 -> 121.244.84.46:25663
1:2404170901:1,6651,Sectrio - RDP connection Detected over TCP,(null),3,05/02/2024-11:08:18.941867  [**] [1:2404170901:1] Sectrio - RDP connection Detected over TCP [**] [Classification: (null)] [Priority: 3] {TCP} 194.233.165.86:40890 -> 121.244.84.46:3389
1:2409230313:1,1068,Sectrio - FTP connection detected,(null),3,05/02/2024-11:04:03.855069  [**] [1:2409230313:1] Sectrio - FTP connection detected [**] [Classification: (null)] [Priority: 3] {TCP} 162.142.125.94:61909 -> 121.244.84.46:21
1:2405150203:1,97973,Sectrio - Secure Shell Client Request Established,Detection of a non-standard protocol or event,2,05/02/2024-11:08:08.752221  [**] [1:2405150203:1] Sectrio - Secure Shell Client Request Established [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {TCP} 185.196.8.151:53896 -> 121.244.84.46:22
1:2405090907:1,6030,Sectrio - Detected rapid TCP port scanning indicative of targeted external reconnaissance.,Attempted Information Leak,2,05/02/2024-11:25:53.405989  [**] [1:2405090907:1] Sectrio - Detected rapid TCP port scanning indicative of targeted external reconnaissance. [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 104.156.155.36:56669 -> 121.244.84.46:4567
1:2405220301:1,1032498,Sectrio - SSH connection from internal IP to external IP detected,(null),3,05/02/2024-10:30:56.514337  [**] [1:2405220301:1] Sectrio - SSH connection from internal IP to external IP detected [**] [Classification: (null)] [Priority: 3] {TCP} 193.105.134.95:27515 -> 121.244.84.46:22
1:2405220302:1,1032497,Sectrio - SSH connection from external IP to internal IP detected,(null),3,05/02/2024-10:30:56.514337  [**] [1:2405220302:1] Sectrio - SSH connection from external IP to internal IP detected [**] [Classification: (null)] [Priority: 3] {TCP} 193.105.134.95:27515 -> 121.244.84.46:22
